"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","user_id","user_name","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"Amazona vinacea","2023-12-22 17:29:00 -0300","","Espírito Santo, BR",-18.8904314604,-40.7629771932,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/222076804","https://inaturalist-open-data.s3.amazonaws.com/photos/393338210/medium.jpg","vitorcdg",222076804,"Papagaio-de-peito-roxo","Aves",18986,2,0,"2023/12/22 17:29","2023-12-22","2023-12-22 20:29:00 UTC","Brasilia",8,30615,"obscured","obscured","true","","",6963474,"Vitor Corrêa Dias","2024-06-11 18:00:49 UTC","2024-07-20 00:46:20 UTC","research","CC-BY-NC","",NA,"false"
"Amazona vinacea","2023-12-19 15:28:00 -0300","","Espírito Santo, BR",-18.8697285588,-40.7918108375,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/222076793","https://inaturalist-open-data.s3.amazonaws.com/photos/393338010/medium.jpg","vitorcdg",222076793,"Papagaio-de-peito-roxo","Aves",18986,1,0,"2023/12/19 15:28","2023-12-19","2023-12-19 18:28:00 UTC","Brasilia",8,30615,"obscured","obscured","true","","",6963474,"Vitor Corrêa Dias","2024-06-11 18:00:47 UTC","2024-06-11 19:11:16 UTC","research","CC-BY-NC","",NA,"false"
"Amazona vinacea","2018-10-28 07:13:00 -0300","","São Paulo, BR",-22.6743983556,-45.5213326071,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/222008657","https://static.inaturalist.org/photos/393216919/medium.jpg","cnmodesto",222008657,"Papagaio-de-peito-roxo","Aves",18986,2,0,"2018/10/28 07:13","2018-10-28","2018-10-28 10:13:00 UTC","Brasilia",263,30258,"","obscured","true","","",1546210,"Celso Modesto Jr.","2024-06-11 11:27:05 UTC","2024-07-20 00:46:15 UTC","research","","",NA,"false"
"Amazona vinacea","2024-06-04 16:22:00 -0300","","Minas Gerais, BR",-19.6851089803,-42.6816746468,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/221083143","https://inaturalist-open-data.s3.amazonaws.com/photos/391490758/medium.jpeg","belcarvalhu",221083143,"Papagaio-de-peito-roxo","Aves",18986,1,0,"2024/06/04 16:22","2024-06-04","2024-06-04 19:22:00 UTC","Brasilia",216,30545,"","obscured","true","","",8094290,"Maria Isabel R. Carvalho","2024-06-07 12:43:08 UTC","2024-06-07 12:50:51 UTC","research","CC-BY","",NA,"false"
"Amazona vinacea","2024-05-22 17:17:00 -0300","","Santa Catarina, BR",-28.1821895494,-49.8297167642,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/219624179","https://inaturalist-open-data.s3.amazonaws.com/photos/388754208/medium.jpeg","reuber",219624179,"Vinaceous-breasted Parrot","Aves",18986,1,0,"2024/05/22 5:17 PM","2024-05-22","2024-05-22 20:17:00 UTC","Brasilia",244,29656,"","obscured","true","","",2821444,"Reuber Brandão","2024-05-31 22:31:05 UTC","2024-05-31 22:32:30 UTC","research","CC-BY","",NA,"false"
"Amazona vinacea","2024-05-23 07:26:00 -0300","","Santa Catarina, BR",-27.8605558959,-49.9192899734,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/219623937","https://inaturalist-open-data.s3.amazonaws.com/photos/388753691/medium.jpeg","reuber",219623937,"Vinaceous-breasted Parrot","Aves",18986,2,0,"2024/05/23 7:26 AM","2024-05-23","2024-05-23 10:26:00 UTC","Brasilia",61,29680,"","obscured","true","","",2821444,"Reuber Brandão","2024-05-31 22:28:50 UTC","2024-07-20 00:45:58 UTC","research","CC-BY","",NA,"false"
"Amazona vinacea","2024-05-23 07:23:00 -0300","","Santa Catarina, BR",-27.9923254148,-49.8095880778,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/219623641","https://inaturalist-open-data.s3.amazonaws.com/photos/388753172/medium.jpeg","reuber",219623641,"Vinaceous-breasted Parrot","Aves",18986,1,0,"2024/05/23 7:23 AM","2024-05-23","2024-05-23 10:23:00 UTC","Brasilia",657,29680,"","obscured","true","","",2821444,"Reuber Brandão","2024-05-31 22:27:02 UTC","2024-05-31 22:33:24 UTC","research","CC-BY","",NA,"false"
"Amazona vinacea","2023-11-11 00:00:00 -0300","Gravação péssima, no entanto eram dois indivíduos sobrevoando uma área florestal.","Minas Gerais, BR",-21.1519122848,-42.9482839564,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/214638834","","jhuan_guilherme",214638834,"Papagaio-de-peito-roxo","Aves",18986,0,0,"2023-11-11","2023-11-11","","Brasilia",6136,30415,"","obscured","true","gps","gps",7478909,"Jhuan Guilherme Farias","2024-05-09 18:42:14 UTC","2024-07-31 17:05:38 UTC","needs_id","","https://static.inaturalist.org/sounds/1028036.mp3?1715280136",2,"false"
"Amazona vinacea","2023-09-16 06:43:15 -0300","","Santa Catarina, BR",-26.7646751096,-48.870702436,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/213763976","https://static.inaturalist.org/photos/377792263/medium.jpeg","bradley161",213763976,"Vinaceous-breasted Parrot","Aves",18986,0,0,"2023-09-16 06:43:15","2023-09-16","2023-09-16 09:43:15 UTC","Brasilia",NA,29822,"","obscured","true","gps","gps",5109897,"Bradley Byrge","2024-05-05 18:37:24 UTC","2024-05-05 18:37:29 UTC","casual","","",2,"true"
"Amazona vinacea","2024-03-07 23:12:00 -0300","Animal resgatado em processo de recuperação, se alimentando de frutos comuns à sua dieta.","Minas Gerais, BR",-18.8871224719,-41.9478870163,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/208032525","https://inaturalist-open-data.s3.amazonaws.com/photos/368036717/medium.jpg","elciannymr",208032525,"Papagaio-de-peito-roxo","Aves",18986,1,0,"2024/03/07 23:12","2024-03-07","2024-03-08 02:12:00 UTC","Brasilia",NA,30615,"","obscured","true","","",7998125,"","2024-04-19 02:14:51 UTC","2024-04-19 02:19:15 UTC","research","CC-BY-NC","",NA,"false"
"Amazona vinacea","","","São Paulo, BR",-23.1086072003,-49.7584224263,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/204216806","https://inaturalist-open-data.s3.amazonaws.com/photos/360932174/medium.jpg","fernandozurdo",204216806,"","Aves",18986,0,0,"","","","Brasilia",5928,30217,"","obscured","true","","",7867147,"","2024-03-28 01:25:50 UTC","2024-03-28 01:25:55 UTC","casual","CC-BY-NC","",3,"false"
"Amazona vinacea","2024-03-09 09:47:48 -0300","","São Paulo, BR",-23.5896318131,-46.5082019361,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/201781057","https://static.inaturalist.org/photos/356251087/medium.jpg","alisson_matsuo",201781057,"Amazonea vinacea","Aves",18986,0,0,"2024-03-09 09:47:48-03:00","2024-03-09","2024-03-09 12:47:48 UTC","Brasilia",8,30175,"","obscured","true","","",7823296,"Alisson Matsuo","2024-03-09 12:48:50 UTC","2024-03-09 12:48:55 UTC","casual","","",3,"true"
"Amazona vinacea","2024-02-29 08:05:49 -0300","","Jequitinhonha, BR-MG, BR",-16.2097549815,-40.8418061632,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/201069492","https://inaturalist-open-data.s3.amazonaws.com/photos/354869722/medium.jpeg","wendersonr3",201069492,"Papagaio-de-peito-roxo","Aves",18986,3,0,"2024-02-29 08:05:49","2024-02-29","2024-02-29 11:05:49 UTC","Brasilia",NA,30826,"","obscured","true","gps","gps",7164974,"WENDERSON LEANDRO SILVA","2024-03-03 00:22:43 UTC","2024-03-14 22:42:25 UTC","research","CC-BY-NC","",2,"false"
"Amazona vinacea","2019-05-02 19:34:00 -0300","","São Paulo, BR",-22.6913752979,-45.4914352438,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/199314039","https://static.inaturalist.org/photos/351478752/medium.jpg","eduardoaugustoferreira",199314039,"Papagaio-de-peito-roxo","Aves",18986,2,0,"2019/05/02 19:34","2019-05-02","2019-05-02 22:34:00 UTC","Brasilia",6637,30258,"","obscured","true","","",2483136,"Eduardo Augusto Ferreira","2024-02-14 22:42:58 UTC","2024-07-20 00:45:38 UTC","research","","",NA,"false"
