"id","lat","lon","date","country","species","database","myID"
4687228716,-26.207186,-52.427193,"2023-01-21","Brazil","Amazona vinacea","Gbif",162
4614107992,-26.611935,-49.442684,"2023-01-22","Brazil","Amazona vinacea","Gbif",163
4769578893,-28.001665,-49.54776,"2023-01-22","Brazil","Amazona vinacea","Gbif",164
4689981737,-29.365183,-50.824043,"2023-01-22","Brazil","Amazona vinacea","Gbif",165
4658688139,-25.051165,-48.606834,"2023-01-28","Brazil","Amazona vinacea","Gbif",166
4776114972,-27.926237,-50.13186,"2023-01-29","Brazil","Amazona vinacea","Gbif",167
4609877872,-23.195251,-44.986286,"2023-01-30","Brazil","Amazona vinacea","Gbif",168
4642264925,-22.876017,-46.029797,"2023-01-05","Brazil","Amazona vinacea","Gbif",169
4679343272,-22.8631,-46.0386,"2023-01-07","Brazil","Amazona vinacea","Gbif",170
4629433091,-27.739838,-51.173393,"2023-01-25","Brazil","Amazona vinacea","Gbif",171
4783572578,-27.734621,-51.168858,"2023-01-26","Brazil","Amazona vinacea","Gbif",172
4643548457,-20.699787,-43.31181,"2023-02-05","Brazil","Amazona vinacea","Gbif",173
4788357221,-26.08769,-51.62398,"2023-02-06","Brazil","Amazona vinacea","Gbif",174
4766210011,-26.1085,-51.659454,"2023-02-09","Brazil","Amazona vinacea","Gbif",175
4789089252,-26.1535,-51.743744,"2023-02-10","Brazil","Amazona vinacea","Gbif",176
4652442743,-20.688868,-43.307953,"2023-02-13","Brazil","Amazona vinacea","Gbif",177
4652585615,-19.604616,-41.465916,"2023-02-13","Brazil","Amazona vinacea","Gbif",178
4705190324,-26.48841,-52.606407,"2023-02-14","Brazil","Amazona vinacea","Gbif",179
4710455330,-22.694096,-45.48946,"2023-02-18","Brazil","Amazona vinacea","Gbif",180
4671617883,-25.544281,-49.84235,"2023-02-19","Brazil","Amazona vinacea","Gbif",181
4705575079,-22.695559,-45.514187,"2023-02-19","Brazil","Amazona vinacea","Gbif",182
4694207194,-27.116745,-52.777084,"2023-02-19","Brazil","Amazona vinacea","Gbif",183
4652203503,-22.73724,-45.58983,"2023-02-20","Brazil","Amazona vinacea","Gbif",184
4709799696,-22.802073,-45.993336,"2023-02-20","Brazil","Amazona vinacea","Gbif",185
4610620886,-22.693796,-45.501266,"2023-02-20","Brazil","Amazona vinacea","Gbif",186
4645383659,-28.013195,-49.53156,"2023-02-21","Brazil","Amazona vinacea","Gbif",187
4694281498,-22.649939,-45.42649,"2023-02-22","Brazil","Amazona vinacea","Gbif",188
4772315337,-29.170856,-50.131184,"2023-02-23","Brazil","Amazona vinacea","Gbif",189
4626409246,-20.692652,-43.309395,"2023-02-27","Brazil","Amazona vinacea","Gbif",190
4626483363,-26.037426,-52.67862,"2023-02-28","Brazil","Amazona vinacea","Gbif",191
4788516592,-29.423851,-50.38677,"2023-02-18","Brazil","Amazona vinacea","Gbif",192
4788022225,-27.395897,-50.746914,"2023-03-02","Brazil","Amazona vinacea","Gbif",193
4713729040,-25.393078,-51.46591,"2023-03-03","Brazil","Amazona vinacea","Gbif",194
4778930659,-27.490208,-50.980618,"2023-03-04","Brazil","Amazona vinacea","Gbif",195
4702558592,-27.566862,-51.05713,"2023-03-05","Brazil","Amazona vinacea","Gbif",196
4794346629,-22.71667,-45.590874,"2023-03-05","Brazil","Amazona vinacea","Gbif",197
4629639915,-27.424166,-50.767883,"2023-03-07","Brazil","Amazona vinacea","Gbif",198
4713187728,-27.429283,-50.780193,"2023-03-07","Brazil","Amazona vinacea","Gbif",199
4715237329,-29.30912,-50.912327,"2023-03-08","Brazil","Amazona vinacea","Gbif",200
4712539835,-22.690252,-45.496353,"2023-03-06","Brazil","Amazona vinacea","Gbif",201
4704245831,-22.703138,-45.47843,"2023-03-06","Brazil","Amazona vinacea","Gbif",202
4663624731,-22.691557,-45.50286,"2023-03-06","Brazil","Amazona vinacea","Gbif",203
4790996063,-29.423658,-50.57849,"2023-03-10","Brazil","Amazona vinacea","Gbif",204
4673891863,-27.497639,-50.790745,"2023-03-14","Brazil","Amazona vinacea","Gbif",205
4653104105,-25.200138,-50.645317,"2023-03-14","Brazil","Amazona vinacea","Gbif",206
4611152611,-22.885754,-46.023224,"2023-03-23","Brazil","Amazona vinacea","Gbif",207
4681863613,-20.684921,-43.298897,"2023-03-24","Brazil","Amazona vinacea","Gbif",208
4716946730,-27.665611,-49.132946,"2023-03-28","Brazil","Amazona vinacea","Gbif",209
4618848996,-26.378235,-49.203503,"2023-03-07","Brazil","Amazona vinacea","Gbif",210
4845372614,-22.717306,-44.619595,"2023-03-05","Brazil","Amazona vinacea","Gbif",211
4758198529,-28.88149,-50.359596,"2023-03-21","Brazil","Amazona vinacea","Gbif",212
4096897819,-24.26353,-50.745089,"2023-04-24","Brazil","Amazona vinacea","Gbif",213
4111594210,-27.856009,-49.989207,"2023-04-29","Brazil","Amazona vinacea","Gbif",214
4111683259,-27.970458,-49.808278,"2023-04-29","Brazil","Amazona vinacea","Gbif",215
4814559020,-16.312346,-40.739,"2023-04-01","Brazil","Amazona vinacea","Gbif",216
4716525735,-19.763391,-42.631203,"2023-04-01","Brazil","Amazona vinacea","Gbif",217
4780017715,-27.967873,-49.895054,"2023-04-07","Brazil","Amazona vinacea","Gbif",218
4798543314,-27.675299,-49.033188,"2023-04-13","Brazil","Amazona vinacea","Gbif",219
4833386387,-27.964815,-49.87028,"2023-04-15","Brazil","Amazona vinacea","Gbif",220
4677186569,-28.020298,-49.849728,"2023-04-16","Brazil","Amazona vinacea","Gbif",221
4783287683,-29.442862,-50.611286,"2023-04-21","Brazil","Amazona vinacea","Gbif",222
4806767971,-20.414827,-41.848576,"2023-04-21","Brazil","Amazona vinacea","Gbif",223
4812911623,-27.954006,-49.87439,"2023-04-22","Brazil","Amazona vinacea","Gbif",224
4789344062,-29.038143,-50.145206,"2023-04-22","Brazil","Amazona vinacea","Gbif",225
4644363745,-24.554058,-50.404694,"2023-04-24","Brazil","Amazona vinacea","Gbif",226
4788738894,-29.158892,-50.08184,"2023-04-22","Brazil","Amazona vinacea","Gbif",227
4735504179,-27.963335,-49.891838,"2023-04-27","Brazil","Amazona vinacea","Gbif",228
4807147982,-27.951479,-49.934216,"2023-04-30","Brazil","Amazona vinacea","Gbif",229
4729598907,-25.016071,-47.9318,"2023-04-30","Brazil","Amazona vinacea","Gbif",230
4665297345,-27.968138,-49.893932,"2023-04-30","Brazil","Amazona vinacea","Gbif",231
4632435567,-27.968143,-49.89408,"2023-04-30","Brazil","Amazona vinacea","Gbif",232
4743911691,-26.91687,-50.74241,"2023-04-11","Brazil","Amazona vinacea","Gbif",233
4127222512,-26.708605,-50.845313,"2023-05-25","Brazil","Amazona vinacea","Gbif",234
4677959607,-26.80598,-51.948868,"2023-05-02","Brazil","Amazona vinacea","Gbif",235
4823639657,-26.869362,-51.94663,"2023-05-03","Brazil","Amazona vinacea","Gbif",236
4819954817,-26.90317,-51.05689,"2023-05-04","Brazil","Amazona vinacea","Gbif",237
4742441119,-26.79975,-51.991096,"2023-05-05","Brazil","Amazona vinacea","Gbif",238
4626945189,-26.032621,-52.591343,"2023-05-05","Brazil","Amazona vinacea","Gbif",239
4827499878,-26.053537,-52.648037,"2023-05-05","Brazil","Amazona vinacea","Gbif",240
4742026793,-26.037134,-52.628357,"2023-05-05","Brazil","Amazona vinacea","Gbif",241
4744111310,-29.157885,-50.078346,"2023-05-09","Brazil","Amazona vinacea","Gbif",242
4746403935,-24.903929,-47.805164,"2023-05-08","Brazil","Amazona vinacea","Gbif",243
4819931430,-29.158487,-50.079395,"2023-05-11","Brazil","Amazona vinacea","Gbif",244
4735737932,-28.02873,-49.874077,"2023-05-12","Brazil","Amazona vinacea","Gbif",245
