"species","lon","lat","database"
"Amazona vinacea",-42.631203,-19.763391,"gbif"
"Amazona vinacea",-49.895054,-27.967873,"gbif"
"Amazona vinacea",-49.033188,-27.675299,"gbif"
"Amazona vinacea",-49.87028,-27.964815,"gbif"
"Amazona vinacea",-49.849728,-28.020298,"gbif"
"Amazona vinacea",-50.611286,-29.442862,"gbif"
"Amazona vinacea",-41.848576,-20.414827,"gbif"
"Amazona vinacea",-49.87439,-27.954006,"gbif"
"Amazona vinacea",-50.145206,-29.038143,"gbif"
"Amazona vinacea",-50.404694,-24.554058,"gbif"
"Amazona vinacea",-50.08184,-29.158892,"gbif"
"Amazona vinacea",-49.891838,-27.963335,"gbif"
"Amazona vinacea",-49.934216,-27.951479,"gbif"
"Amazona vinacea",-47.9318,-25.016071,"gbif"
"Amazona vinacea",-49.893932,-27.968138,"gbif"
"Amazona vinacea",-49.89408,-27.968143,"gbif"
"Amazona vinacea",-50.74241,-26.91687,"gbif"
"Amazona vinacea",-50.845313,-26.708605,"gbif"
"Amazona vinacea",-51.948868,-26.80598,"gbif"
"Amazona vinacea",-51.94663,-26.869362,"gbif"
"Amazona vinacea",-51.05689,-26.90317,"gbif"
"Amazona vinacea",-51.991096,-26.79975,"gbif"
"Amazona vinacea",-52.591343,-26.032621,"gbif"
"Amazona vinacea",-52.648037,-26.053537,"gbif"
"Amazona vinacea",-52.628357,-26.037134,"gbif"
"Amazona vinacea",-50.078346,-29.157885,"gbif"
"Amazona vinacea",-47.805164,-24.903929,"gbif"
"Amazona vinacea",-50.079395,-29.158487,"gbif"
"Amazona vinacea",-49.874077,-28.02873,"gbif"
"Amazona vinacea",-52.767525,-27.110743,"gbif"
"Amazona vinacea",-52.768436,-27.116165,"gbif"
"Amazona vinacea",-50.85491,-29.427965,"gbif"
"Amazona vinacea",-50.866467,-29.365347,"gbif"
"Amazona vinacea",-45.4849,-22.696798,"gbif"
"Amazona vinacea",-50.49468,-28.015335,"gbif"
"Amazona vinacea",-50.815784,-29.32316,"gbif"
"Amazona vinacea",-50.079353,-29.15847,"gbif"
"Amazona vinacea",-50.99104,-26.752565,"gbif"
"Amazona vinacea",-51.21379,-26.181196,"gbif"
"Amazona vinacea",-49.45227,-28.039925,"gbif"
"Amazona vinacea",-45.581028,-22.716742,"gbif"
"Amazona vinacea",-52.70012,-26.730976,"gbif"
"Amazona vinacea",-51.494537,-26.63634,"gbif"
"Amazona vinacea",-50.346844,-27.790737,"gbif"
"Amazona vinacea",-52.257484,-26.664103,"gbif"
"Amazona vinacea",-50.81974,-26.73247,"gbif"
"Amazona vinacea",-50.84672,-26.75517,"gbif"
"Amazona vinacea",-50.871082,-26.76052,"gbif"
"Amazona vinacea",-51.1208,-27.520168,"gbif"
"Amazona vinacea",-51.400833,-27.004435,"gbif"
"Amazona vinacea",-49.92603,-27.945337,"gbif"
"Amazona vinacea",-49.93415,-27.951292,"gbif"
"Amazona vinacea",-49.92607,-27.945486,"gbif"
"Amazona vinacea",-49.533432,-26.26182,"gbif"
"Amazona vinacea",-47.97888,-24.949799,"gbif"
"Amazona vinacea",-45.62725,-22.721987,"gbif"
"Amazona vinacea",-49.96721,-29.173143,"gbif"
"Amazona vinacea",-51.652622,-26.127153,"gbif"
"Amazona vinacea",-51.606956,-26.536896,"gbif"
"Amazona vinacea",-49.855312,-27.980448,"gbif"
"Amazona vinacea",-49.05885,-27.671589,"gbif"
"Amazona vinacea",-51.77953,-26.513437,"gbif"
"Amazona vinacea",-51.10079,-27.529762,"gbif"
"Amazona vinacea",-50.645977,-28.306835,"gbif"
"Amazona vinacea",-49.85533,-27.928144,"gbif"
"Amazona vinacea",-46.198876,-22.841213,"gbif"
"Amazona vinacea",-52.197394,-25.800289,"gbif"
"Amazona vinacea",-49.852981,-26.229774,"gbif"
"Amazona vinacea",-53.060043,-25.707628,"gbif"
"Amazona vinacea",-50.818108,-27.488422,"gbif"
"Amazona vinacea",-50.765488,-27.422289,"gbif"
"Amazona vinacea",-50.09578,-27.953085,"gbif"
"Amazona vinacea",-50.777996,-27.431942,"gbif"
"Amazona vinacea",-46.033787,-22.87582,"gbif"
"Amazona vinacea",-52.565613,-26.449093,"gbif"
"Amazona vinacea",-41.814518,-19.712765,"gbif"
"Amazona vinacea",-52.63577,-26.477253,"gbif"
"Amazona vinacea",-50.875195,-27.497814,"gbif"
"Amazona vinacea",-53.117523,-26.68905,"gbif"
"Amazona vinacea",-46.04079,-22.86604,"gbif"
"Amazona vinacea",-50.4381,-27.27671,"gbif"
"Amazona vinacea",-51.17825,-27.512518,"gbif"
"Amazona vinacea",-46.041775,-22.866201,"gbif"
"Amazona vinacea",-50.921894,-26.14827,"gbif"
"Amazona vinacea",-45.515057,-22.697767,"gbif"
"Amazona vinacea",-50.084484,-27.837963,"gbif"
"Amazona vinacea",-45.502388,-22.69413,"gbif"
"Amazona vinacea",-51.057564,-27.567038,"gbif"
"Amazona vinacea",-49.805622,-26.55235,"gbif"
"Amazona vinacea",-51.108932,-26.162706,"gbif"
"Amazona vinacea",-49.832825,-28.011583,"gbif"
"Amazona vinacea",-45.62065,-22.761477,"gbif"
"Amazona vinacea",-45.169296,-23.469725,"gbif"
"Amazona vinacea",-51.087807,-27.541813,"gbif"
"Amazona vinacea",-45.50549,-22.6937,"gbif"
"Amazona vinacea",-45.48711,-22.696547,"gbif"
"Amazona vinacea",-45.539734,-22.696455,"gbif"
"Amazona vinacea",-45.4888,-22.697416,"gbif"
"Amazona vinacea",-47.954136,-24.934729,"gbif"
"Amazona vinacea",-46.518414,-23.770893,"gbif"
"Amazona vinacea",-49.891575,-27.962845,"gbif"
